DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
06/14/2023,01:00,AEEC, 20.58,N
06/14/2023,01:00,AGUAYO_UNIT1, 20.44,N
06/14/2023,01:00,AJAXWIND_RN, 19.53,N
06/14/2023,01:00,ALGOD_ALL_RN, 16.76,N
06/14/2023,01:00,ALVIN_RN, 20.18,N
06/14/2023,01:00,AMADEUS_ALL, 19.38,N
06/14/2023,01:00,AMISTAD_ALL, 36.95,N
06/14/2023,01:00,AMOCOOIL_CC1, 20.17,N
06/14/2023,01:00,AMOCOOIL_CC2, 20.17,N
06/14/2023,01:00,AMOCO_PUN1, 20.17,N
06/14/2023,01:00,AMOCO_PUN2, 20.17,N
06/14/2023,01:00,AMO_AMOCO_1, 20.17,N
06/14/2023,01:00,AMO_AMOCO_2, 20.17,N
06/14/2023,01:00,AMO_AMOCO_5, 20.17,N
06/14/2023,01:00,AMO_AMOCO_G1, 20.17,N
06/14/2023,01:00,AMO_AMOCO_G2, 20.17,N
06/14/2023,01:00,AMO_AMOCO_G3, 20.17,N
06/14/2023,01:00,AMO_AMOCO_S1, 20.17,N
06/14/2023,01:00,AMO_AMOCO_S2, 20.17,N
06/14/2023,01:00,ANACACHO_ANA, 33.64,N
06/14/2023,01:00,ANCHOR_ALL, 19.63,N
06/14/2023,01:00,ANDMDSLR_ALL, 19.33,N
06/14/2023,01:00,ANSON1_ALL, 19.28,N
06/14/2023,01:00,APPALOSA_ALL, 36.01,N
06/14/2023,01:00,AQUI_ALL, 19.97,N
06/14/2023,01:00,ARAGORN_RN, 31.96,N
06/14/2023,01:00,ASTRA_RN, 20.03,N
06/14/2023,01:00,ATK_ATKINSG7, 20.15,N
06/14/2023,01:00,AUSTPL_ALL, 21.75,N
06/14/2023,01:00,AVIAT_ALL, 23.55,N
06/14/2023,01:00,AZURE_RN, 19.46,N
06/14/2023,01:00,AZ_ALL, 20.17,N
06/14/2023,01:00,BAC_RN_ALL, 20.17,N
06/14/2023,01:00,BAFFIN_ALL, 5.36,N
06/14/2023,01:00,BAIRDWND_ALL, 19.52,N
06/14/2023,01:00,BARROW_ALL, 30.94,N
06/14/2023,01:00,BASTEN_CC1, 20.95,N
06/14/2023,01:00,BASTEN_CCU, 20.95,N
06/14/2023,01:00,BATCAVE_RN, 21.42,N
06/14/2023,01:00,BAYC_BESS_RN, 20.36,N
06/14/2023,01:00,BBREEZE_1_2, 5.69,N
06/14/2023,01:00,BCATWD_WD_1, 19.49,N
06/14/2023,01:00,BCH_RN, 20.19,N
06/14/2023,01:00,BCK_RN, 20.19,N
06/14/2023,01:00,BIGSTAR_ALL, 20.9,N
06/14/2023,01:00,BLACKJAK_RN, 16.85,N
06/14/2023,01:00,BLSMT1_5_A_6, 19.6,N
06/14/2023,01:00,BLUEJAY_RN, 20.14,N
06/14/2023,01:00,BOARDCRK_ALL, 19.96,N
06/14/2023,01:00,BOOTLEG_UN1, 30.7,N
06/14/2023,01:00,BORDAS_345, -27.1,N
06/14/2023,01:00,BOSQUESW_CC1, 20.05,N
06/14/2023,01:00,BOSQUESW_CC2, 20.09,N
06/14/2023,01:00,BOSQ_BSQSU_5, 20.09,N
06/14/2023,01:00,BOSQ_BSQS_12, 20.09,N
06/14/2023,01:00,BOSQ_BSQS_34, 20.05,N
06/14/2023,01:00,BRANDON_RN, 23.44,N
06/14/2023,01:00,BRAUNIG_CC1, 21.37,N
06/14/2023,01:00,BRAUNIG_VHB1, 21.61,N
06/14/2023,01:00,BRAUNIG_VHB2, 21.61,N
06/14/2023,01:00,BRAUNIG_VHB3, 21.75,N
06/14/2023,01:00,BRAZ_WND_ALL, 21.6,N
06/14/2023,01:00,BRA_AVR1_CT2, 21.37,N
06/14/2023,01:00,BRA_AVR_CST1, 21.37,N
06/14/2023,01:00,BRHEIGHT_RN, 20.17,N
06/14/2023,01:00,BRIGHTSD_RN, 21.39,N
06/14/2023,01:00,BRIGHTSD_U1, 21.39,N
06/14/2023,01:00,BRISCOE_WIND, 19.93,N
06/14/2023,01:00,BRPANGLE_RN, 20.21,N
06/14/2023,01:00,BRPMAGNO_RN, 20.17,N
06/14/2023,01:00,BRP_BRAZ_RN, 20.21,N
06/14/2023,01:00,BRP_DIKN_RN, 20.17,N
06/14/2023,01:00,BRP_LOOP_RN, 20.75,N
06/14/2023,01:00,BRP_LOP1_RN, 6.08,N
06/14/2023,01:00,BRP_PBL1_RN, 43.2,N
06/14/2023,01:00,BRP_PBL2_RN, 43.19,N
06/14/2023,01:00,BRP_RN_UNIT1, 21.79,N
06/14/2023,01:00,BRP_SEMI_RN, 20.17,N
06/14/2023,01:00,BRP_SWNY_RN, 20.21,N
06/14/2023,01:00,BRP_ZPT1_RN, 6.05,N
06/14/2023,01:00,BRP_ZPT2_RN, 6.05,N
06/14/2023,01:00,BRTSW_BCW1, 19.61,N
06/14/2023,01:00,BR_ARROW_ALL, 19.81,N
06/14/2023,01:00,BR_VHB6CT5_6, 21.61,N
06/14/2023,01:00,BR_VHB6CT7_8, 21.61,N
06/14/2023,01:00,BSS_U1, 20.21,N
06/14/2023,01:00,BTE_BTE_G1, 20.17,N
06/14/2023,01:00,BTE_BTE_G2, 20.17,N
06/14/2023,01:00,BTE_BTE_G3, 20.17,N
06/14/2023,01:00,BTE_BTE_G4, 20.17,N
06/14/2023,01:00,BTE_CC1, 20.17,N
06/14/2023,01:00,BTE_PUN1, 20.17,N
06/14/2023,01:00,BTE_PUN2, 20.17,N
06/14/2023,01:00,BTM_ALL, 20.19,N
06/14/2023,01:00,BUCHAN_ALL, 21,N
06/14/2023,01:00,BUCKTHRN_RN, 19.79,N
06/14/2023,01:00,BUFF_GAP_ALL, 19.44,N
06/14/2023,01:00,BULLCRK_1_2, 22,N
06/14/2023,01:00,BVE_CC1, 20.18,N
06/14/2023,01:00,BVE_UNIT1, 20.18,N
06/14/2023,01:00,BVE_UNIT2, 20.18,N
06/14/2023,01:00,BVE_UNIT3, 20.18,N
06/14/2023,01:00,BYRDR_ES_ALL, 20.21,N
06/14/2023,01:00,BYU_BYU_1, 20.17,N
06/14/2023,01:00,BYU_BYU_12, 20.17,N
06/14/2023,01:00,BYU_BYU_34, 20.17,N
06/14/2023,01:00,BYU_BYU_G8, 20.17,N
06/14/2023,01:00,BYU_CC1, 20.17,N
06/14/2023,01:00,BYU_PUN1, 20.17,N
06/14/2023,01:00,BYU_PUN2, 20.17,N
06/14/2023,01:00,BYU_PUN3, 20.17,N
06/14/2023,01:00,BYU_PUN4, 20.17,N
06/14/2023,01:00,B_DAVIS_3, 18.38,N
06/14/2023,01:00,B_DAVIS_4, 18.38,N
06/14/2023,01:00,B_DAVIS_CC1, 18.38,N
06/14/2023,01:00,B_D_B_DAVIG1, 18.38,N
06/14/2023,01:00,B_D_B_DAVIG2, 18.38,N
06/14/2023,01:00,CABEZON_ALL, -20.33,N
06/14/2023,01:00,CALAVER_JKS1, 21.21,N
06/14/2023,01:00,CALAVER_JKS2, 21.21,N
06/14/2023,01:00,CALAVER_JTD1, 21.63,N
06/14/2023,01:00,CALAVER_JTD2, 21.63,N
06/14/2023,01:00,CALAVER_OWS1, 21.64,N
06/14/2023,01:00,CALAVER_OWS2, 21.64,N
06/14/2023,01:00,CALHOUN_ALL, 20.41,N
06/14/2023,01:00,CALLAHA_WND1, 19.75,N
06/14/2023,01:00,CAL_CALGT1, 20.17,N
06/14/2023,01:00,CAL_CALSTG1, 20.17,N
06/14/2023,01:00,CAL_CC1, 20.17,N
06/14/2023,01:00,CAL_PUN1, 20.17,N
06/14/2023,01:00,CAL_PUN2, 20.17,N
06/14/2023,01:00,CAMWIND_RN, 5.37,N
06/14/2023,01:00,CAPRIDG4_CR4, 23.55,N
06/14/2023,01:00,CAPRIDGE_ALL, 23.55,N
06/14/2023,01:00,CARBN_BSP_1, 30.49,N
06/14/2023,01:00,CASL_GAP_UN1, 32.52,N
06/14/2023,01:00,CATARINA_B1, 50.24,N
06/14/2023,01:00,CBECII_1, 20.19,N
06/14/2023,01:00,CBECII_2, 20.19,N
06/14/2023,01:00,CBECII_89, 20.19,N
06/14/2023,01:00,CBECII_CC3, 20.19,N
06/14/2023,01:00,CBECII_CT7, 20.19,N
06/14/2023,01:00,CBEC_ALL, 20.3,N
06/14/2023,01:00,CBEC_CC1, 20.3,N
06/14/2023,01:00,CBEC_CC2, 20.3,N
