DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
10/04/2024,01:00,7RNCHSLR_ALL, 20.6,N
10/04/2024,01:00,ADL_RN, 19.63,N
10/04/2024,01:00,AEEC, 13.14,N
10/04/2024,01:00,AE_RN, 19.91,N
10/04/2024,01:00,AGUAYO_UNIT1, 19.58,N
10/04/2024,01:00,AJAXWIND_RN, 16.64,N
10/04/2024,01:00,ALGOD_ALL_RN, 21.21,N
10/04/2024,01:00,ALP_BESS_RN, -119.86,N
10/04/2024,01:00,ALVIN_RN, 19.82,N
10/04/2024,01:00,AMADEUS_ALL, 15.34,N
10/04/2024,01:00,AMISTAD_ALL, 28.3,N
10/04/2024,01:00,AMOCOOIL_CC1, 19.77,N
10/04/2024,01:00,AMOCOOIL_CC2, 19.77,N
10/04/2024,01:00,AMOCO_PUN1, 19.77,N
10/04/2024,01:00,AMOCO_PUN2, 19.77,N
10/04/2024,01:00,AMO_AMOCO_1, 19.77,N
10/04/2024,01:00,AMO_AMOCO_2, 19.77,N
10/04/2024,01:00,AMO_AMOCO_5, 19.77,N
10/04/2024,01:00,AMO_AMOCO_G1, 19.77,N
10/04/2024,01:00,AMO_AMOCO_G2, 19.77,N
10/04/2024,01:00,AMO_AMOCO_G3, 19.77,N
10/04/2024,01:00,AMO_AMOCO_S1, 19.77,N
10/04/2024,01:00,AMO_AMOCO_S2, 19.77,N
10/04/2024,01:00,ANACACHO_ANA, 25.33,N
10/04/2024,01:00,ANCHOR_ALL, 16.78,N
10/04/2024,01:00,ANDMDSLR_ALL, 15.11,N
10/04/2024,01:00,ANEM_ESS_RN, 21.27,N
10/04/2024,01:00,ANG_ALL, 21.41,N
10/04/2024,01:00,ANSON1_ALL, 15.64,N
10/04/2024,01:00,APPALOSA_ALL, 40.86,N
10/04/2024,01:00,AQUI_ALL, 17.39,N
10/04/2024,01:00,ARAGORN_RN, 56.61,N
10/04/2024,01:00,ASCK_SLR_RN, 17.39,N
10/04/2024,01:00,ASTRA_RN, 14.37,N
10/04/2024,01:00,ATK_ATKINSG7, 19.24,N
10/04/2024,01:00,AURO_SLR_RN, 19.51,N
10/04/2024,01:00,AUSTPL_ALL, 20.6,N
10/04/2024,01:00,AVIAT_ALL, 20.16,N
10/04/2024,01:00,AZURE_RN, 15.73,N
10/04/2024,01:00,AZ_ALL, 19.66,N
10/04/2024,01:00,BAC_RN_ALL, 19.76,N
10/04/2024,01:00,BAFFIN_ALL, 21.21,N
10/04/2024,01:00,BAIRDWND_ALL, 16.27,N
10/04/2024,01:00,BAKE_RN_ALL, 17.67,N
10/04/2024,01:00,BARROW_ALL, 63.13,N
10/04/2024,01:00,BASTEN_CC1, 20.66,N
10/04/2024,01:00,BASTEN_CCU, 20.66,N
10/04/2024,01:00,BATCAVE_RN, 22.2,N
10/04/2024,01:00,BAYC_BESS_RN, 20.39,N
10/04/2024,01:00,BBREEZE_1_2, 21.24,N
10/04/2024,01:00,BCATWD_WD_1, 16.91,N
10/04/2024,01:00,BCH_RN, 19.91,N
10/04/2024,01:00,BCK_RN, 19.94,N
10/04/2024,01:00,BELM_SLR_RN, 19.18,N
10/04/2024,01:00,BIGSTAR_ALL, 20.69,N
10/04/2024,01:00,BLACKJAK_RN, 21.2,N
10/04/2024,01:00,BLSMT1_5_A_6, 16.09,N
10/04/2024,01:00,BLUEJAY_RN, 19.22,N
10/04/2024,01:00,BOARDCRK_ALL, 18.18,N
10/04/2024,01:00,BOCO_ESS_RN, 12.53,N
10/04/2024,01:00,BOOTLEG_UN1, 41.29,N
10/04/2024,01:00,BORDAS_345, 21.35,N
10/04/2024,01:00,BOSQUESW_CC1, 18.94,N
10/04/2024,01:00,BOSQUESW_CC2, 19.08,N
10/04/2024,01:00,BOSQ_BSQSU_5, 19.08,N
10/04/2024,01:00,BOSQ_BSQS_12, 19.08,N
10/04/2024,01:00,BOSQ_BSQS_34, 18.94,N
10/04/2024,01:00,BRANDON_RN, 17.54,N
10/04/2024,01:00,BRAUNIG_CC1, 21.7,N
10/04/2024,01:00,BRAUNIG_VHB1, 21.63,N
10/04/2024,01:00,BRAUNIG_VHB2, 21.63,N
10/04/2024,01:00,BRAUNIG_VHB3, 21.7,N
10/04/2024,01:00,BRAZ_WND_ALL, 13.19,N
10/04/2024,01:00,BRA_AVR1_CT2, 21.7,N
10/04/2024,01:00,BRA_AVR_CST1, 21.7,N
10/04/2024,01:00,BRHEIGHT_RN, 19.77,N
10/04/2024,01:00,BRIGHTSD_RN, 21.39,N
10/04/2024,01:00,BRIGHTSD_U1, 21.37,N
10/04/2024,01:00,BRISCOE_WIND, 14.77,N
10/04/2024,01:00,BRPANGLE_RN, 19.94,N
10/04/2024,01:00,BRPMAGNO_RN, 19.78,N
10/04/2024,01:00,BRP_BRAZ_RN, 19.93,N
10/04/2024,01:00,BRP_DIKN_RN, 19.77,N
10/04/2024,01:00,BRP_LOOP_RN, 21.02,N
10/04/2024,01:00,BRP_LOP1_RN, 21.34,N
10/04/2024,01:00,BRP_PBL1_RN, 25.57,N
10/04/2024,01:00,BRP_PBL2_RN, 25.57,N
10/04/2024,01:00,BRP_RN_UNIT1, 21.95,N
10/04/2024,01:00,BRP_SWNY_RN, 19.93,N
10/04/2024,01:00,BRP_ZPT1_RN, 21.38,N
10/04/2024,01:00,BRP_ZPT2_RN, 21.37,N
10/04/2024,01:00,BRTSW_BCW1, 17.24,N
10/04/2024,01:00,BR_ARROW_ALL, 17.68,N
10/04/2024,01:00,BR_VHB6CT5_6, 21.63,N
10/04/2024,01:00,BR_VHB6CT7_8, 21.63,N
10/04/2024,01:00,BSS_U1, 19.93,N
10/04/2024,01:00,BTE_BTE_G1, 19.64,N
10/04/2024,01:00,BTE_BTE_G2, 19.64,N
10/04/2024,01:00,BTE_BTE_G3, 19.64,N
10/04/2024,01:00,BTE_BTE_G4, 19.64,N
10/04/2024,01:00,BTE_CC1, 19.64,N
10/04/2024,01:00,BTE_PUN1, 19.64,N
10/04/2024,01:00,BTE_PUN2, 19.64,N
10/04/2024,01:00,BTM_ALL, 19.86,N
10/04/2024,01:00,BUCHAN_ALL, 20.72,N
10/04/2024,01:00,BUCKTHRN_RN, 17.89,N
10/04/2024,01:00,BUFF_GAP_ALL, 17.84,N
10/04/2024,01:00,BULLCRK_1_2, -3.37,N
10/04/2024,01:00,BVE_CC1, 19.85,N
10/04/2024,01:00,BVE_UNIT1, 19.85,N
10/04/2024,01:00,BVE_UNIT2, 19.85,N
10/04/2024,01:00,BVE_UNIT3, 19.85,N
10/04/2024,01:00,BYRDR_ES_ALL, 19.93,N
10/04/2024,01:00,BYU_BYU_1, 19.71,N
10/04/2024,01:00,BYU_BYU_12, 19.71,N
10/04/2024,01:00,BYU_BYU_34, 19.71,N
10/04/2024,01:00,BYU_CC1, 19.71,N
10/04/2024,01:00,BYU_G4_RN, 19.71,N
10/04/2024,01:00,BYU_PUN1, 19.71,N
10/04/2024,01:00,BYU_PUN2, 19.71,N
10/04/2024,01:00,BYU_PUN3, 19.71,N
