,DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
312,2022-01-02,01:00,HB_NORTH,26.63,N
315,2022-01-02,01:00,HB_WEST,23.46,N
1081,2022-01-02,02:00,HB_NORTH,24.79,N
1084,2022-01-02,02:00,HB_WEST,21.96,N
1850,2022-01-02,03:00,HB_NORTH,23.85,N
1853,2022-01-02,03:00,HB_WEST,21.93,N
2619,2022-01-02,04:00,HB_NORTH,22.81,N
2622,2022-01-02,04:00,HB_WEST,20.51,N
3388,2022-01-02,05:00,HB_NORTH,23.59,N
3391,2022-01-02,05:00,HB_WEST,20.43,N
4157,2022-01-02,06:00,HB_NORTH,25.76,N
4160,2022-01-02,06:00,HB_WEST,23.43,N
4926,2022-01-02,07:00,HB_NORTH,30.29,N
4929,2022-01-02,07:00,HB_WEST,28.62,N
5695,2022-01-02,08:00,HB_NORTH,38.11,N
5698,2022-01-02,08:00,HB_WEST,36.0,N
6464,2022-01-02,09:00,HB_NORTH,46.77,N
6467,2022-01-02,09:00,HB_WEST,45.88,N
7233,2022-01-02,10:00,HB_NORTH,37.65,N
7236,2022-01-02,10:00,HB_WEST,37.36,N
8002,2022-01-02,11:00,HB_NORTH,35.47,N
8005,2022-01-02,11:00,HB_WEST,35.61,N
8771,2022-01-02,12:00,HB_NORTH,35.0,N
8774,2022-01-02,12:00,HB_WEST,34.71,N
9540,2022-01-02,13:00,HB_NORTH,31.33,N
9543,2022-01-02,13:00,HB_WEST,31.15,N
10309,2022-01-02,14:00,HB_NORTH,27.45,N
10312,2022-01-02,14:00,HB_WEST,27.59,N
11078,2022-01-02,15:00,HB_NORTH,26.33,N
11081,2022-01-02,15:00,HB_WEST,26.51,N
11847,2022-01-02,16:00,HB_NORTH,25.84,N
11850,2022-01-02,16:00,HB_WEST,26.01,N
12616,2022-01-02,17:00,HB_NORTH,31.4,N
12619,2022-01-02,17:00,HB_WEST,31.41,N
13385,2022-01-02,18:00,HB_NORTH,84.63,N
13388,2022-01-02,18:00,HB_WEST,83.02,N
14154,2022-01-02,19:00,HB_NORTH,98.07,N
14157,2022-01-02,19:00,HB_WEST,96.35,N
14923,2022-01-02,20:00,HB_NORTH,72.65,N
14926,2022-01-02,20:00,HB_WEST,72.53,N
15692,2022-01-02,21:00,HB_NORTH,62.24,N
15695,2022-01-02,21:00,HB_WEST,62.53,N
16461,2022-01-02,22:00,HB_NORTH,48.31,N
16464,2022-01-02,22:00,HB_WEST,48.49,N
17230,2022-01-02,23:00,HB_NORTH,39.26,N
17233,2022-01-02,23:00,HB_WEST,39.36,N
17999,2022-01-02,24:00,HB_NORTH,36.75,N
18002,2022-01-02,24:00,HB_WEST,36.86,N
18768,2022-01-03,01:00,HB_NORTH,31.01,N
18771,2022-01-03,01:00,HB_WEST,31.12,N
19537,2022-01-03,02:00,HB_NORTH,30.45,N
19540,2022-01-03,02:00,HB_WEST,30.54,N
20306,2022-01-03,03:00,HB_NORTH,30.03,N
20309,2022-01-03,03:00,HB_WEST,30.12,N
21075,2022-01-03,04:00,HB_NORTH,29.65,N
21078,2022-01-03,04:00,HB_WEST,29.73,N
21844,2022-01-03,05:00,HB_NORTH,31.03,N
21847,2022-01-03,05:00,HB_WEST,31.16,N
22613,2022-01-03,06:00,HB_NORTH,40.43,N
22616,2022-01-03,06:00,HB_WEST,39.82,N
23382,2022-01-03,07:00,HB_NORTH,96.58,N
23385,2022-01-03,07:00,HB_WEST,95.4,N
24151,2022-01-03,08:00,HB_NORTH,101.16,N
24154,2022-01-03,08:00,HB_WEST,100.24,N
24920,2022-01-03,09:00,HB_NORTH,47.62,N
24923,2022-01-03,09:00,HB_WEST,47.27,N
25689,2022-01-03,10:00,HB_NORTH,34.68,N
25692,2022-01-03,10:00,HB_WEST,31.1,N
26458,2022-01-03,11:00,HB_NORTH,29.38,N
26461,2022-01-03,11:00,HB_WEST,27.06,N
27227,2022-01-03,12:00,HB_NORTH,27.53,N
27230,2022-01-03,12:00,HB_WEST,24.8,N
27996,2022-01-03,13:00,HB_NORTH,26.67,N
27999,2022-01-03,13:00,HB_WEST,24.99,N
28765,2022-01-03,14:00,HB_NORTH,25.13,N
28768,2022-01-03,14:00,HB_WEST,23.01,N
29534,2022-01-03,15:00,HB_NORTH,24.17,N
29537,2022-01-03,15:00,HB_WEST,21.78,N
30303,2022-01-03,16:00,HB_NORTH,23.2,N
30306,2022-01-03,16:00,HB_WEST,20.79,N
31072,2022-01-03,17:00,HB_NORTH,26.79,N
31075,2022-01-03,17:00,HB_WEST,24.83,N
31841,2022-01-03,18:00,HB_NORTH,47.05,N
31844,2022-01-03,18:00,HB_WEST,46.45,N
32610,2022-01-03,19:00,HB_NORTH,35.37,N
32613,2022-01-03,19:00,HB_WEST,32.42,N
33379,2022-01-03,20:00,HB_NORTH,30.99,N
33382,2022-01-03,20:00,HB_WEST,27.32,N
34148,2022-01-03,21:00,HB_NORTH,30.81,N
34151,2022-01-03,21:00,HB_WEST,20.03,N
34917,2022-01-03,22:00,HB_NORTH,29.05,N
34920,2022-01-03,22:00,HB_WEST,13.73,N
35686,2022-01-03,23:00,HB_NORTH,27.02,N
35689,2022-01-03,23:00,HB_WEST,14.34,N
36455,2022-01-03,24:00,HB_NORTH,24.4,N
36458,2022-01-03,24:00,HB_WEST,13.49,N
37224,2022-01-04,01:00,HB_NORTH,19.48,N
37227,2022-01-04,01:00,HB_WEST,0.01,N
37993,2022-01-04,02:00,HB_NORTH,18.15,N
37996,2022-01-04,02:00,HB_WEST,0.08,N
38762,2022-01-04,03:00,HB_NORTH,19.11,N
38765,2022-01-04,03:00,HB_WEST,0.93,N
39531,2022-01-04,04:00,HB_NORTH,20.35,N
39534,2022-01-04,04:00,HB_WEST,1.76,N
40300,2022-01-04,05:00,HB_NORTH,24.91,N
40303,2022-01-04,05:00,HB_WEST,4.02,N
41069,2022-01-04,06:00,HB_NORTH,25.84,N
41072,2022-01-04,06:00,HB_WEST,10.05,N
41838,2022-01-04,07:00,HB_NORTH,40.23,N
41841,2022-01-04,07:00,HB_WEST,7.91,N
42607,2022-01-04,08:00,HB_NORTH,42.89,N
42610,2022-01-04,08:00,HB_WEST,5.5,N
43376,2022-01-04,09:00,HB_NORTH,35.56,N
43379,2022-01-04,09:00,HB_WEST,0.01,N
44145,2022-01-04,10:00,HB_NORTH,26.61,N
44148,2022-01-04,10:00,HB_WEST,-0.29,N
44914,2022-01-04,11:00,HB_NORTH,23.39,N
44917,2022-01-04,11:00,HB_WEST,-0.61,N
45683,2022-01-04,12:00,HB_NORTH,22.74,N
45686,2022-01-04,12:00,HB_WEST,-0.29,N
46452,2022-01-04,13:00,HB_NORTH,20.37,N
46455,2022-01-04,13:00,HB_WEST,-0.29,N
47221,2022-01-04,14:00,HB_NORTH,19.22,N
47224,2022-01-04,14:00,HB_WEST,-0.29,N
47990,2022-01-04,15:00,HB_NORTH,18.33,N
47993,2022-01-04,15:00,HB_WEST,-0.28,N
48759,2022-01-04,16:00,HB_NORTH,18.05,N
48762,2022-01-04,16:00,HB_WEST,0.34,N
49528,2022-01-04,17:00,HB_NORTH,21.57,N
49531,2022-01-04,17:00,HB_WEST,15.12,N
50297,2022-01-04,18:00,HB_NORTH,43.98,N
50300,2022-01-04,18:00,HB_WEST,43.26,N
51066,2022-01-04,19:00,HB_NORTH,33.98,N
51069,2022-01-04,19:00,HB_WEST,33.8,N
51835,2022-01-04,20:00,HB_NORTH,29.14,N
51838,2022-01-04,20:00,HB_WEST,28.91,N
52604,2022-01-04,21:00,HB_NORTH,26.03,N
52607,2022-01-04,21:00,HB_WEST,25.93,N
53373,2022-01-04,22:00,HB_NORTH,24.53,N
53376,2022-01-04,22:00,HB_WEST,24.54,N
54142,2022-01-04,23:00,HB_NORTH,25.84,N
54145,2022-01-04,23:00,HB_WEST,25.89,N
54911,2022-01-04,24:00,HB_NORTH,24.38,N
54914,2022-01-04,24:00,HB_WEST,24.44,N
55680,2022-01-05,01:00,HB_NORTH,23.23,N
55683,2022-01-05,01:00,HB_WEST,23.32,N
56449,2022-01-05,02:00,HB_NORTH,22.23,N
56452,2022-01-05,02:00,HB_WEST,22.3,N
57218,2022-01-05,03:00,HB_NORTH,22.29,N
57221,2022-01-05,03:00,HB_WEST,22.34,N
57987,2022-01-05,04:00,HB_NORTH,22.42,N
57990,2022-01-05,04:00,HB_WEST,22.42,N
58756,2022-01-05,05:00,HB_NORTH,24.59,N
58759,2022-01-05,05:00,HB_WEST,24.59,N
59525,2022-01-05,06:00,HB_NORTH,29.25,N
59528,2022-01-05,06:00,HB_WEST,29.08,N
60294,2022-01-05,07:00,HB_NORTH,32.77,N
60297,2022-01-05,07:00,HB_WEST,32.59,N
61063,2022-01-05,08:00,HB_NORTH,34.66,N
61066,2022-01-05,08:00,HB_WEST,34.43,N
61832,2022-01-05,09:00,HB_NORTH,27.59,N
61835,2022-01-05,09:00,HB_WEST,27.57,N
62601,2022-01-05,10:00,HB_NORTH,23.83,N
62604,2022-01-05,10:00,HB_WEST,23.73,N
63370,2022-01-05,11:00,HB_NORTH,23.26,N
63373,2022-01-05,11:00,HB_WEST,23.25,N
64139,2022-01-05,12:00,HB_NORTH,23.55,N
64142,2022-01-05,12:00,HB_WEST,23.55,N
64908,2022-01-05,13:00,HB_NORTH,23.54,N
64911,2022-01-05,13:00,HB_WEST,23.55,N
65677,2022-01-05,14:00,HB_NORTH,23.19,N
65680,2022-01-05,14:00,HB_WEST,23.19,N
66446,2022-01-05,15:00,HB_NORTH,22.86,N
66449,2022-01-05,15:00,HB_WEST,22.87,N
67215,2022-01-05,16:00,HB_NORTH,22.6,N
67218,2022-01-05,16:00,HB_WEST,22.61,N
67984,2022-01-05,17:00,HB_NORTH,24.83,N
67987,2022-01-05,17:00,HB_WEST,24.8,N
68753,2022-01-05,18:00,HB_NORTH,60.02,N
68756,2022-01-05,18:00,HB_WEST,60.08,N
69522,2022-01-05,19:00,HB_NORTH,47.07,N
69525,2022-01-05,19:00,HB_WEST,47.19,N
70291,2022-01-05,20:00,HB_NORTH,34.21,N
70294,2022-01-05,20:00,HB_WEST,34.47,N
71060,2022-01-05,21:00,HB_NORTH,31.01,N
71063,2022-01-05,21:00,HB_WEST,31.26,N
71829,2022-01-05,22:00,HB_NORTH,25.08,N
71832,2022-01-05,22:00,HB_WEST,25.36,N
72598,2022-01-05,23:00,HB_NORTH,26.72,N
72601,2022-01-05,23:00,HB_WEST,27.02,N
73367,2022-01-05,24:00,HB_NORTH,24.98,N
73370,2022-01-05,24:00,HB_WEST,25.22,N
74136,2022-01-06,01:00,HB_NORTH,25.08,N
74139,2022-01-06,01:00,HB_WEST,25.06,N
74904,2022-01-06,02:00,HB_NORTH,23.11,N
74907,2022-01-06,02:00,HB_WEST,22.78,N
75672,2022-01-06,03:00,HB_NORTH,23.0,N
75675,2022-01-06,03:00,HB_WEST,21.75,N
76440,2022-01-06,04:00,HB_NORTH,22.0,N
76443,2022-01-06,04:00,HB_WEST,19.96,N
77208,2022-01-06,05:00,HB_NORTH,23.2,N
77211,2022-01-06,05:00,HB_WEST,19.07,N
77976,2022-01-06,06:00,HB_NORTH,24.64,N
77979,2022-01-06,06:00,HB_WEST,20.98,N
78744,2022-01-06,07:00,HB_NORTH,27.72,N
78747,2022-01-06,07:00,HB_WEST,21.97,N
79512,2022-01-06,08:00,HB_NORTH,27.71,N
79515,2022-01-06,08:00,HB_WEST,17.96,N
80280,2022-01-06,09:00,HB_NORTH,23.16,N
80283,2022-01-06,09:00,HB_WEST,5.01,N
81048,2022-01-06,10:00,HB_NORTH,21.16,N
81051,2022-01-06,10:00,HB_WEST,-0.28,N
81816,2022-01-06,11:00,HB_NORTH,21.11,N
81819,2022-01-06,11:00,HB_WEST,0.01,N
82584,2022-01-06,12:00,HB_NORTH,21.24,N
82587,2022-01-06,12:00,HB_WEST,6.85,N
83352,2022-01-06,13:00,HB_NORTH,22.35,N
