Hour Ending,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
01/01/2022 00:00,
01/01/2022 01:00,
01/01/2022 02:00,
01/01/2022 03:00,
01/01/2022 04:00,
01/01/2022 05:00,
01/01/2022 06:00,
01/01/2022 07:00,
01/01/2022 08:00,
01/01/2022 09:00,
01/01/2022 10:00,
01/01/2022 11:00,
01/01/2022 12:00,
01/01/2022 13:00,
01/01/2022 14:00,
01/01/2022 15:00,
01/01/2022 16:00,
01/01/2022 17:00,
01/01/2022 18:00,
01/01/2022 19:00,
01/01/2022 20:00,
01/01/2022 21:00,
01/01/2022 22:00,
01/01/2022 23:00,
01/02/2022 00:00,
01/02/2022 01:00,
01/02/2022 02:00,
01/02/2022 03:00,
01/02/2022 04:00,
01/02/2022 05:00,
01/02/2022 06:00,
01/02/2022 07:00,
01/02/2022 08:00,
01/02/2022 09:00,
01/02/2022 10:00,
01/02/2022 11:00,
01/02/2022 12:00,
01/02/2022 13:00,
01/02/2022 14:00,
01/02/2022 15:00,
01/02/2022 16:00,
01/02/2022 17:00,
01/02/2022 18:00,
01/02/2022 19:00,
01/02/2022 20:00,
01/02/2022 21:00,
01/02/2022 22:00,
01/02/2022 23:00,
01/03/2022 00:00,3.74
01/03/2022 01:00,3.74
01/03/2022 02:00,3.74
01/03/2022 03:00,3.74
01/03/2022 04:00,3.74
01/03/2022 05:00,3.74
01/03/2022 06:00,3.74
01/03/2022 07:00,3.74
01/03/2022 08:00,3.74
01/03/2022 09:00,3.74
01/03/2022 10:00,3.74
01/03/2022 11:00,3.74
01/03/2022 12:00,3.74
01/03/2022 13:00,3.74
01/03/2022 14:00,3.74
01/03/2022 15:00,3.74
01/03/2022 16:00,3.74
01/03/2022 17:00,3.74
01/03/2022 18:00,3.74
01/03/2022 19:00,3.74
01/03/2022 20:00,3.74
01/03/2022 21:00,3.74
01/03/2022 22:00,3.74
01/03/2022 23:00,3.74
01/04/2022 00:00,3.73
01/04/2022 01:00,3.73
01/04/2022 02:00,3.73
01/04/2022 03:00,3.73
01/04/2022 04:00,3.73
01/04/2022 05:00,3.73
01/04/2022 06:00,3.73
01/04/2022 07:00,3.73
01/04/2022 08:00,3.73
01/04/2022 09:00,3.73
01/04/2022 10:00,3.73
01/04/2022 11:00,3.73
01/04/2022 12:00,3.73
01/04/2022 13:00,3.73
01/04/2022 14:00,3.73
01/04/2022 15:00,3.73
01/04/2022 16:00,3.73
01/04/2022 17:00,3.73
01/04/2022 18:00,3.73
01/04/2022 19:00,3.73
01/04/2022 20:00,3.73
01/04/2022 21:00,3.73
01/04/2022 22:00,3.73
01/04/2022 23:00,3.73
01/05/2022 00:00,3.78
01/05/2022 01:00,3.78
01/05/2022 02:00,3.78
01/05/2022 03:00,3.78
01/05/2022 04:00,3.78
01/05/2022 05:00,3.78
01/05/2022 06:00,3.78
01/05/2022 07:00,3.78
01/05/2022 08:00,3.78
01/05/2022 09:00,3.78
01/05/2022 10:00,3.78
01/05/2022 11:00,3.78
01/05/2022 12:00,3.78
01/05/2022 13:00,3.78
01/05/2022 14:00,3.78
01/05/2022 15:00,3.78
01/05/2022 16:00,3.78
01/05/2022 17:00,3.78
01/05/2022 18:00,3.78
01/05/2022 19:00,3.78
01/05/2022 20:00,3.78
01/05/2022 21:00,3.78
01/05/2022 22:00,3.78
01/05/2022 23:00,3.78
01/06/2022 00:00,3.94
01/06/2022 01:00,3.94
01/06/2022 02:00,3.94
01/06/2022 03:00,3.94
01/06/2022 04:00,3.94
01/06/2022 05:00,3.94
01/06/2022 06:00,3.94
01/06/2022 07:00,3.94
01/06/2022 08:00,3.94
01/06/2022 09:00,3.94
01/06/2022 10:00,3.94
01/06/2022 11:00,3.94
01/06/2022 12:00,3.94
01/06/2022 13:00,3.94
01/06/2022 14:00,3.94
01/06/2022 15:00,3.94
01/06/2022 16:00,3.94
01/06/2022 17:00,3.94
01/06/2022 18:00,3.94
01/06/2022 19:00,3.94
01/06/2022 20:00,3.94
01/06/2022 21:00,3.94
01/06/2022 22:00,3.94
01/06/2022 23:00,3.94
01/07/2022 00:00,3.83
01/07/2022 01:00,3.83
01/07/2022 02:00,3.83
01/07/2022 03:00,3.83
01/07/2022 04:00,3.83
01/07/2022 05:00,3.83
01/07/2022 06:00,3.83
01/07/2022 07:00,3.83
01/07/2022 08:00,3.83
01/07/2022 09:00,3.83
01/07/2022 10:00,3.83
01/07/2022 11:00,3.83
01/07/2022 12:00,3.83
01/07/2022 13:00,3.83
01/07/2022 14:00,3.83
01/07/2022 15:00,3.83
01/07/2022 16:00,3.83
01/07/2022 17:00,3.83
01/07/2022 18:00,3.83
01/07/2022 19:00,3.83
01/07/2022 20:00,3.83
01/07/2022 21:00,3.83
01/07/2022 22:00,3.83
01/07/2022 23:00,3.83
01/08/2022 00:00,3.83
01/08/2022 01:00,3.83
01/08/2022 02:00,3.83
01/08/2022 03:00,3.83
01/08/2022 04:00,3.83
01/08/2022 05:00,3.83
01/08/2022 06:00,3.83
01/08/2022 07:00,3.83
01/08/2022 08:00,3.83
01/08/2022 09:00,3.83
01/08/2022 10:00,3.83
01/08/2022 11:00,3.83
01/08/2022 12:00,3.83
01/08/2022 13:00,3.83
01/08/2022 14:00,3.83
