Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2022 01:00,12054.939199,1302.296674,4161.193625,757.843076,9676.300802,3172.878316,5908.031505,973.4557,38006.938896
01/01/2022 02:00,11793.290315,1259.355201,4147.907009,737.236591,9307.126712,3123.318608,5708.512022,959.775908,37036.522365
01/01/2022 03:00,11460.841252,1210.287905,4156.412366,725.610502,8920.424552,3003.396233,5463.522829,941.112359,35881.607998
01/01/2022 04:00,11244.980243,1179.311517,4149.811722,717.420214,8678.807826,2898.097471,5255.252404,920.373708,35044.055105
01/01/2022 05:00,11073.085585,1171.841803,4140.619028,719.178247,8573.370608,2825.100402,5164.172158,918.203309,34585.57114
01/01/2022 06:00,11011.385994,1174.850389,4100.272204,733.134986,8599.813873,2777.352313,5133.465003,916.121914,34446.396676
01/01/2022 07:00,11067.715175,1185.955879,4096.765515,744.932391,8733.118,2765.389172,5200.964993,929.41012,34724.251246
01/01/2022 08:00,11052.554919,1205.327441,4093.388898,765.270014,8930.804704,2718.895036,5261.576353,944.556897,34972.374262
01/01/2022 09:00,11330.829064,1254.335681,4077.07034,789.451234,9301.22385,2782.892118,5442.830743,971.738127,35950.371156
01/01/2022 10:00,11930.178538,1359.640549,4123.213186,828.494596,9971.388517,3020.766751,5781.685772,1005.331539,38020.699447
01/01/2022 11:00,12591.364742,1433.135595,4144.235759,878.705544,10486.209241,3301.873423,6113.814796,1023.556407,39972.895508
01/01/2022 12:00,13268.023904,1503.857456,4153.021185,917.747693,10949.136112,3603.749997,6409.932491,1043.74823,41849.217067
01/01/2022 13:00,13861.015398,1547.658296,4147.733087,933.497547,11189.244944,3891.091871,6555.495416,1054.449853,43180.186413
01/01/2022 14:00,14344.021327,1574.036313,4132.784707,954.602004,11241.962389,4123.778718,6565.633943,1065.299757,44002.119157
01/01/2022 15:00,14614.906857,1552.687203,4117.723038,984.999549,11004.463674,4294.816898,6606.719175,1074.971956,44251.28835
01/01/2022 16:00,14597.067349,1519.307443,4114.80742,1029.745806,10819.908857,4365.17622,6647.990904,1092.433046,44186.437046
01/01/2022 17:00,14273.787857,1502.393961,4119.61938,1090.442685,11200.786627,4293.692491,6679.033364,1116.886036,44276.642402
01/01/2022 18:00,13993.893171,1480.541368,4136.549958,1174.950934,12136.572258,4070.432137,6773.060203,1145.995848,44911.995876
01/01/2022 19:00,13924.683251,1492.826219,4221.647052,1244.055116,13059.924586,3964.410617,6936.442047,1186.252595,46030.241483
01/01/2022 20:00,13519.472479,1450.979196,4274.460722,1266.334657,13619.448059,3781.32351,6767.374607,1183.362451,45862.755681
01/01/2022 21:00,13131.476237,1423.423061,4307.838762,1291.435422,14221.256025,3614.805042,6519.542967,1186.0537,45695.831216
01/01/2022 22:00,12747.295975,1395.9172,4377.165538,1304.409238,14712.788476,3472.467241,6219.939391,1189.623247,45419.606307
01/01/2022 23:00,12274.50435,1357.083984,4400.749099,1302.7525,14998.826261,3316.319186,5881.456222,1185.096978,44716.788581
01/01/2022 24:00,11743.443529,1343.740511,4407.806479,1294.655779,15201.070121,3127.290665,5464.790221,1177.976956,43760.774262
01/01/2023 01:00,8514.637876,1218.506271,5073.526557,917.394049,9896.757586,2859.017922,6012.400469,1116.933155,35609.173887
01/01/2023 02:00,8345.632899,1179.885576,5016.774637,906.854582,9675.86972,2845.77921,5934.08426,1107.417972,35012.298856
01/01/2023 03:00,8125.706879,1151.144653,5016.30322,894.817013,9490.332365,2734.163642,5855.790279,1101.324245,34369.582295
01/01/2023 04:00,7995.083655,1153.306928,5038.003823,891.733538,9420.89047,2555.339795,5840.914307,1105.457821,34000.730337
01/01/2023 05:00,7906.920393,1168.779618,4994.502755,896.893843,9430.780728,2484.777679,5873.683697,1108.739956,33865.078669
01/01/2023 06:00,7889.554389,1156.228161,4948.337707,906.319316,9571.444279,2470.114206,5993.187535,1132.445612,34067.631206
01/01/2023 07:00,7934.474748,1212.178357,4840.270738,920.09894,9766.058677,2611.113518,6141.055235,1156.027386,34581.277597
01/01/2023 08:00,7935.765832,1241.090793,4800.167719,937.08713,10043.026955,2606.581613,6334.335677,1198.191058,35096.246776
01/01/2023 09:00,8123.640818,1290.586884,4869.876501,889.445101,10352.355371,2608.052077,6397.166257,1203.281519,35734.404528
01/01/2023 10:00,8457.019497,1310.219024,4961.062941,950.200263,10448.812335,2809.72229,6340.599995,1162.209494,36439.845839
01/01/2023 11:00,8817.685609,1319.877501,5052.531366,898.520077,10441.668637,2900.614596,6207.010676,1106.141658,36744.05012
01/01/2023 12:00,9186.859668,1321.326188,5110.735065,851.856167,10578.378138,2982.91009,6035.219975,1062.061348,37129.346639
01/01/2023 13:00,9484.775321,1321.105393,5132.884725,908.571147,10710.685953,3149.704566,5966.068104,1038.434791,37712.230001
01/01/2023 14:00,9751.880756,1334.786846,4952.662715,833.995557,10734.515219,3359.94178,6002.5281,1013.023404,37983.334375
01/01/2023 15:00,10018.235508,1314.131423,4998.434006,830.515044,10780.912391,3569.063544,6125.758907,1009.186867,38646.237692
01/01/2023 16:00,10206.582598,1354.512651,5073.393608,909.869951,10927.806519,3638.953645,6252.281777,1015.461948,39378.862698
01/01/2023 17:00,10222.851613,1373.395785,4955.972921,883.629105,11026.894708,3696.085849,6416.120834,1021.686082,39596.636896
01/01/2023 18:00,10358.767529,1391.406831,4835.866598,878.731164,11448.086285,3628.514428,6646.461866,1053.708227,40241.542928
01/01/2023 19:00,10662.355338,1465.749937,4980.792279,969.784371,11909.311466,3602.486367,6906.751505,1097.758712,41594.989976
01/01/2023 20:00,10558.768508,1426.865505,5077.564519,974.12626,11688.319876,3584.26659,6805.682761,1092.153541,41207.74756
01/01/2023 21:00,10442.706616,1422.192449,5101.095981,962.387653,11515.467341,3532.779843,6665.983543,1081.077106,40723.690532
01/01/2023 22:00,10278.031264,1376.612533,5076.382022,944.128375,11191.261619,3470.778873,6526.729117,1077.56824,39941.492043
01/01/2023 23:00,10003.157039,1304.362678,5024.303651,913.230897,10781.277172,3364.147312,6306.330407,1051.226662,38748.035819
01/01/2023 24:00,9674.794693,1266.396061,5021.114714,882.000049,10221.147771,3109.517988,6030.024121,1034.670649,37239.666045
01/01/2024 01:00,10484.137154,1375.738368,6210.082088,1250.403165,11799.512618,2929.799758,6020.385247,1153.421779,41223.480177
01/01/2024 02:00,10365.816869,1455.235587,6223.669226,1272.979716,12094.701362,2916.987913,5987.545519,1162.463555,41479.399746
01/01/2024 03:00,10206.968091,1396.973111,6270.219255,1290.712338,12414.58872,2835.801915,5874.877381,1182.629316,41472.770126
01/01/2024 04:00,10086.531805,1423.999194,6263.889506,1311.941858,12609.781073,2783.93253,5789.148918,1208.215907,41477.440791
01/01/2024 05:00,10097.438645,1507.46534,6281.784102,1335.537947,13158.83137,2741.224809,5816.637897,1245.272845,42184.192955
01/01/2024 06:00,10194.600576,1566.413884,6258.394143,1374.106707,13723.711221,2780.691228,5966.534978,1285.049889,43149.502626
01/01/2024 07:00,10344.874447,1667.516065,6303.012021,1400.576511,14362.663455,2836.457975,6226.80201,1325.743997,44467.646479
01/01/2024 08:00,10379.993893,1749.101552,6303.05412,1433.680666,14830.995032,2696.052863,6560.613016,1357.327488,45310.81863
01/01/2024 09:00,10409.818631,1797.37299,6350.636185,1465.270595,14972.913003,2836.558385,6841.516607,1362.130659,46036.217054
01/01/2024 10:00,10615.383403,1772.395379,6360.002929,1462.397622,14926.376326,2983.166528,7023.594233,1352.328957,46495.645376
01/01/2024 11:00,10851.983861,1770.507764,6341.299877,1442.752766,14751.146896,3059.992184,7093.279291,1347.963177,46658.925817
01/01/2024 12:00,11037.476991,1694.773048,6350.658705,1399.544663,14260.124857,3171.873737,7055.102409,1309.685868,46279.240279
01/01/2024 13:00,11153.521771,1636.842634,6327.247062,1347.187851,13742.679093,3238.477117,6961.173629,1264.178259,45671.307416
01/01/2024 14:00,11138.282527,1529.205472,6267.25751,1279.19073,13104.778524,3316.859737,6750.05247,1204.126421,44589.753392
01/01/2024 15:00,11132.887854,1479.200363,6261.953378,1232.176886,12646.420954,3354.642895,6659.786025,1151.92523,43918.993587
01/01/2024 16:00,11219.910376,1481.101067,6268.556839,1214.708959,12541.383575,3277.591964,6643.241451,1135.614376,43782.108608
01/01/2024 17:00,11357.365773,1532.371067,6232.43931,1228.879934,12803.292848,3258.768636,6809.851673,1140.502665,44363.471906
01/01/2024 18:00,11843.417815,1676.051969,6243.655752,1283.67681,13919.725282,3363.082291,7279.156948,1178.527363,46787.294229
01/01/2024 19:00,12095.186422,1792.690875,6299.335517,1357.881681,14838.95518,3481.696056,7757.676466,1264.514225,48887.936422
01/01/2024 20:00,12046.068724,1820.546341,6261.650958,1389.97357,15087.363175,3420.726774,7810.923912,1284.937353,49122.190807
01/01/2024 21:00,11982.718235,1840.71981,6235.035025,1414.707099,15237.66275,3389.35382,7842.899297,1312.216621,49255.312657
01/01/2024 22:00,11839.3521,1858.98248,6259.75693,1404.552401,15153.726883,3316.580065,7758.789123,1335.537956,48927.277938
01/01/2024 23:00,11528.263382,1824.539043,6240.393608,1388.596551,14802.316224,3204.412092,7560.563605,1321.134368,47870.218872
01/01/2024 24:00,11167.110076,1795.950003,6185.097165,1330.991364,14421.846408,3108.148082,7285.437758,1300.069094,46594.64995
01/02/2022 01:00,10777.158984,1427.802849,4432.044268,1253.761904,15238.525291,2896.602166,5530.944768,1234.924343,42791.764572
01/02/2022 02:00,10084.401315,1437.911798,4348.931321,1259.19521,15462.687557,2754.186906,5554.439907,1257.792069,42159.546083
01/02/2022 03:00,9643.017602,1461.333638,4328.98448,1266.735701,15748.466408,2587.702841,5703.368451,1282.598651,42022.207772
01/02/2022 04:00,9491.985476,1505.795936,4310.263153,1277.161408,16128.697973,2485.891392,5904.415305,1315.90226,42420.112903
01/02/2022 05:00,9555.400497,1588.71147,4300.042374,1296.433954,16698.255255,2480.455067,6170.470851,1357.846281,43447.61575
01/02/2022 06:00,9799.055959,1690.710406,4270.337641,1326.712598,17281.463201,2441.661588,6639.297569,1409.333384,44858.572346
01/02/2022 07:00,10255.763553,1812.262388,4240.381734,1354.593991,17902.035903,2467.67372,7278.894008,1476.536566,46788.141863
01/02/2022 08:00,10839.823703,1950.842714,4208.000474,1392.20457,18644.737449,2574.749711,7995.095711,1549.655815,49155.110148
01/02/2022 09:00,11543.127454,2075.64569,4165.895412,1411.254457,19162.077677,2742.201526,8499.664095,1581.62316,51181.489472
01/02/2022 10:00,12212.070444,2163.220395,4125.854064,1404.098487,19295.271533,2932.490407,8665.129659,1568.386611,52366.5216
01/02/2022 11:00,12585.289187,2169.556124,4060.182614,1357.587611,18840.395846,3053.532994,8542.586241,1512.670322,52121.800938
01/02/2022 12:00,12755.545225,2157.458309,3984.975452,1307.802163,18041.718892,3093.129141,8320.641477,1449.194157,51110.464816
01/02/2022 13:00,12866.640376,2131.292477,3940.007304,1248.687504,17163.493355,3109.022476,8043.807693,1388.416639,49891.367825
01/02/2022 14:00,12819.434676,2086.510141,3902.447586,1194.182822,16259.486951,3084.144765,7750.638178,1329.691707,48426.536827
01/02/2022 15:00,12709.687056,2022.099993,3879.211924,1145.950241,15405.066973,3042.875885,7461.696765,1280.673012,46947.261849
01/02/2022 16:00,12633.851663,1969.466725,3884.923548,1110.251707,14955.844906,3026.553443,7306.00108,1248.83878,46135.731854
01/02/2022 17:00,12695.008751,1975.696136,3903.46727,1112.408859,14883.661468,3032.058827,7381.658129,1245.345899,46229.305338
01/02/2022 18:00,13283.98398,2055.840356,3985.51486,1181.114575,15822.460027,3174.936785,7866.473301,1302.592923,48672.916807
01/02/2022 19:00,13903.668231,2137.111731,4155.272359,1257.648393,16838.524827,3474.821576,8457.908179,1409.675609,51634.630906
01/02/2022 20:00,13944.221599,2133.767702,4213.096243,1276.201313,17117.483093,3587.441473,8612.54037,1454.710609,52339.462403
01/02/2022 21:00,13799.84883,2118.303952,4223.018282,1276.699174,17107.047967,3621.925179,8670.89577,1473.807461,52291.546615
01/02/2022 22:00,13613.319732,2074.633138,4253.586849,1266.859885,16983.50475,3665.301329,8646.720438,1464.523353,51968.449475
01/02/2022 23:00,13233.904986,1998.497842,4242.988055,1227.947394,16458.082135,3612.048729,8428.019405,1428.503303,50629.99185
01/02/2022 24:00,12845.191033,1950.240685,4224.315646,1200.400518,15976.574432,3522.875948,8228.004651,1410.84245,49358.445363
01/02/2023 01:00,9052.174729,1191.235021,4900.723643,839.087782,9514.965589,3090.366543,6021.250469,1096.895038,35706.698815
01/02/2023 02:00,8796.923448,1139.634612,4909.56428,828.685163,9174.934059,2977.647366,5804.771947,1083.481638,34715.642512
01/02/2023 03:00,8580.184617,1107.173196,4931.791869,819.228531,8980.380309,2865.370574,5693.424485,1067.09472,34044.648301
01/02/2023 04:00,8533.345721,1100.511857,4980.250427,822.026567,8927.453182,2709.250882,5614.004479,1065.956367,33752.799482
01/02/2023 05:00,8568.291127,1086.558252,5019.557586,834.269867,9045.691377,2688.969808,5656.921825,1061.629941,33961.889782
01/02/2023 06:00,8723.678695,1134.536803,5054.845307,855.778509,9312.847277,2754.146068,5783.281756,1077.30996,34696.424375
01/02/2023 07:00,8964.275223,1242.515738,5012.33187,890.652375,9715.015062,2984.638832,6032.985368,1101.320139,35943.734608
01/02/2023 08:00,9131.172956,1275.916451,5091.564628,926.832989,10138.788925,3065.712446,6272.07887,1142.759716,37044.826982
01/02/2023 09:00,9414.933747,1343.091524,5027.154662,942.155038,10585.632095,3123.841579,6459.383426,1153.899816,38050.091886
01/02/2023 10:00,9854.008535,1432.697443,5082.355691,966.774626,11195.482237,3363.422588,6661.594511,1161.232595,39717.568226
01/02/2023 11:00,10372.590888,1463.926202,5159.385608,985.279328,11717.223114,3490.446167,6814.598927,1153.695887,41157.146119
01/02/2023 12:00,10806.020053,1515.292419,5172.86943,998.356758,12155.884637,3634.957098,6980.81085,1150.879786,42415.071031
01/02/2023 13:00,11068.732067,1538.449664,5180.558809,1000.590092,12417.037399,3836.901405,7092.210856,1137.116818,43271.597111
01/02/2023 14:00,11234.28612,1536.569551,5144.034171,1003.793867,12517.952158,4073.386298,7150.025353,1120.498693,43780.546212
01/02/2023 15:00,11262.214553,1527.107278,5113.437301,1001.909105,12577.548571,4230.352551,7261.538578,1109.416351,44083.524288
01/02/2023 16:00,11366.088351,1527.749579,5074.980881,1005.562115,12624.456117,4258.135227,7425.019168,1104.976574,44386.968013
01/02/2023 17:00,11443.705709,1539.309125,5084.710877,1019.79185,12750.157147,4268.540291,7533.637917,1107.119648,44746.972564
01/02/2023 18:00,11772.568623,1573.509112,5113.847784,1045.846249,13185.590903,4184.682474,7646.528615,1133.460601,45656.034362
01/02/2023 19:00,11895.000792,1648.255805,5240.986094,1020.353737,13371.78832,4090.107468,7827.117286,1172.027673,46265.637177
01/02/2023 20:00,11738.235881,1596.246477,5220.414184,1046.060579,13116.934517,4021.505815,7663.148751,1166.06552,45568.611725
01/02/2023 21:00,11514.46456,1535.011014,5218.018308,1035.847267,12670.344652,3901.194176,7414.942957,1142.477237,44432.300171
01/02/2023 22:00,11222.129489,1475.209574,5193.818589,1002.55886,12136.999821,3771.915415,7159.119829,1119.728708,43081.480285
01/02/2023 23:00,10773.538124,1440.161568,5127.811425,960.639877,11355.873703,3607.812813,6789.864525,1079.638152,41135.340185
01/02/2023 24:00,10248.498659,1354.589793,5134.030495,915.642197,10443.248648,3268.928074,6376.396435,1045.554107,38786.888408
01/02/2024 01:00,10942.112971,1785.567025,6196.626076,1323.677085,14188.062406,2941.018082,7058.149121,1329.842468,45765.055235
01/02/2024 02:00,10812.566184,1798.176485,6217.11982,1313.238258,14132.31953,2870.031994,6891.751341,1322.640072,45357.843684
01/02/2024 03:00,10760.421199,1840.918102,6209.978338,1294.32845,14258.444718,2816.562307,6828.460307,1332.849899,45341.963319
01/02/2024 04:00,10866.231602,1870.760842,6138.48145,1288.469943,14438.930593,2795.963936,6834.447549,1338.952717,45572.238632
01/02/2024 05:00,11170.620638,1900.63221,6149.670229,1311.707352,14882.01996,2804.339976,6977.682905,1361.613313,46558.286583
01/02/2024 06:00,11743.526296,2054.217312,6240.953038,1364.419033,15769.705363,2935.17367,7350.217744,1402.802065,48861.014521
01/02/2024 07:00,12498.121481,2162.586074,6349.586327,1444.522668,16793.636345,3078.029391,7865.648756,1472.874883,51665.005926
01/02/2024 08:00,12940.494001,2288.027313,6440.75131,1497.042641,17377.103393,3122.736838,8253.258369,1531.118793,53450.532659
01/02/2024 09:00,13198.529429,2261.652631,6307.749942,1485.500163,17359.147433,3188.088065,8467.072291,1532.965616,53800.705569
01/02/2024 10:00,13390.773108,2184.690195,6547.152865,1551.763966,17091.18977,3272.256255,8527.049525,1543.942763,54108.818446
01/02/2024 11:00,13452.064469,2052.037083,6497.364684,1519.122358,16333.291471,3350.850907,8531.661135,1528.573876,53264.965984
01/02/2024 12:00,13448.305683,1914.868319,6511.608859,1460.567672,15376.62525,3388.379735,8481.838341,1512.775096,52094.968955
01/02/2024 13:00,13315.754859,1797.74098,6543.949177,1416.662916,14761.583564,3427.951189,8509.964395,1510.925995,51284.533076
01/02/2024 14:00,13252.83431,1680.686126,6577.970889,1390.960546,14969.985311,3449.896447,8525.792843,1501.600705,51349.727177
01/02/2024 15:00,13094.924649,1676.857325,6576.213727,1383.026272,15178.544116,3453.599226,8524.366877,1485.455965,51372.988157
01/02/2024 16:00,13082.362836,1663.150477,6581.796886,1375.008362,15396.986191,3464.832947,8532.280111,1487.193055,51583.610866
01/02/2024 17:00,13101.696765,1732.779365,6584.540684,1396.02405,15719.601956,3543.250666,8649.303041,1492.814684,52220.01121
01/02/2024 18:00,13539.684104,1860.868814,6470.38787,1416.058902,16359.189346,3586.511195,8934.150094,1525.954683,53692.805009
01/02/2024 19:00,13621.865442,1895.979489,6376.386374,1433.337082,16520.935476,3745.087638,9059.961024,1542.10394,54195.656466
01/02/2024 20:00,13471.646455,1863.844256,6481.620357,1425.966056,16299.1267,3723.153112,8941.498612,1549.36166,53756.217208
01/02/2024 21:00,13175.862413,1854.325294,6238.623686,1312.026207,15911.686447,3650.478836,8732.781793,1537.937434,52413.722111
01/02/2024 22:00,12822.872732,1854.165056,6153.273511,1293.954206,15408.078002,3496.345026,8443.197403,1484.370554,50956.25649
01/02/2024 23:00,12347.50363,1773.166722,6160.175658,1266.6504,14562.989246,3331.567409,8023.315449,1429.335658,48894.704172
01/02/2024 24:00,11909.314655,1675.456428,6065.864959,1153.051117,13694.590454,3198.658824,7585.567382,1364.36156,46646.865378
01/03/2022 01:00,12495.895466,1987.28021,4158.881891,1183.932318,15697.392147,3478.245755,8047.935964,1397.190665,48446.754417
01/03/2022 02:00,12388.254729,1953.409848,4158.719278,1183.712766,15655.435693,3426.748652,8027.031445,1402.820913,48196.133326
01/03/2022 03:00,12294.078908,2018.454653,4147.492033,1194.620268,15688.93505,3428.651052,8139.641966,1409.601263,48321.475194
01/03/2022 04:00,12366.425508,2043.762616,4151.368458,1210.016952,15928.013594,3472.418138,8316.901755,1435.986434,48924.893455
01/03/2022 05:00,12685.30761,2098.149973,4160.247195,1235.277787,16471.202552,3576.288177,8600.559977,1479.572074,50306.605345
01/03/2022 06:00,13223.967842,2217.816502,4184.480353,1283.844668,17264.094334,3771.918583,9113.849955,1532.167255,52592.139491
01/03/2022 07:00,13926.167513,2364.64327,4205.423659,1350.664173,18294.025495,4078.04499,9752.549471,1625.066365,55596.584937
01/03/2022 08:00,14380.012046,2430.800556,4240.663097,1408.133358,18934.182981,4304.17469,10213.904102,1686.675775,57598.546605
01/03/2022 09:00,14425.425954,2386.857514,4195.324554,1394.442508,18653.939053,4273.0356,9989.467633,1642.924531,56961.417347
01/03/2022 10:00,14270.338687,2234.342265,4136.084481,1329.605272,17497.717745,4072.765341,9300.180139,1536.323805,54377.357734
01/03/2022 11:00,13993.848244,2078.687927,4063.822114,1254.324717,16359.080627,3819.418911,8552.824614,1422.969141,51544.976295
01/03/2022 12:00,13640.736943,1929.775297,4013.813011,1176.412422,15135.742923,3582.336246,7904.873157,1327.857902,48711.547901
01/03/2022 13:00,13207.457852,1809.966299,3974.202662,1109.067567,14232.998653,3377.599328,7400.265685,1248.492826,46360.050872
01/03/2022 14:00,12868.815322,1706.313258,3962.889488,1062.637406,13441.53787,3215.41979,6994.79448,1196.443329,44448.850943
01/03/2022 15:00,12576.903436,1646.925104,3966.325352,1026.047569,12896.708603,3101.656579,6690.580077,1154.967779,43060.114499
01/03/2022 16:00,12435.678848,1630.163244,3980.071392,1003.177912,12640.013157,3045.592787,6557.495238,1132.474203,42424.666782
01/03/2022 17:00,12346.209939,1664.938276,3983.840894,1002.521217,12722.047273,3032.19502,6691.23205,1138.443746,42581.428414
01/03/2022 18:00,12797.814585,1794.5528,4037.172529,1061.282367,13621.810404,3153.728421,7207.566519,1190.476826,44864.404451
01/03/2022 19:00,13458.410965,1936.049685,4171.379917,1136.397057,14665.105806,3498.003509,7856.656843,1299.255219,48021.259001
01/03/2022 20:00,13615.320179,2013.610757,4222.02416,1156.5405,14894.428223,3643.395089,8040.329907,1339.165947,48924.814763
01/03/2022 21:00,13642.548894,2037.890821,4257.065582,1158.588545,14959.376196,3713.140351,8097.916925,1364.953616,49231.48093
01/03/2022 22:00,13451.545525,2012.010932,4250.068603,1137.420631,14709.149,3699.235218,7984.156141,1351.14246,48594.72851
01/03/2022 23:00,13058.352153,1939.40594,4229.250235,1104.265587,14113.261046,3598.300302,7649.771186,1312.02973,47004.636179
01/03/2022 24:00,12643.718735,1867.693629,4217.01723,1080.159955,13544.515775,3463.0158,7315.215904,1273.243646,45404.580675
01/03/2023 01:00,9786.749865,1282.131181,5143.670768,817.19192,9632.982508,3014.808338,6077.808817,1020.799661,36776.143059
01/03/2023 02:00,9405.327653,1219.994144,5088.007931,791.746917,9134.689381,2885.590328,5742.778384,1011.300591,35279.435329
01/03/2023 03:00,9131.740959,1173.867311,5097.9914,838.38972,8900.73321,2782.069796,5571.320807,1007.418818,34503.532022
01/03/2023 04:00,9004.654198,1137.111642,5114.792178,859.219424,8880.421772,2665.748539,5509.862137,1011.238539,34183.04843
01/03/2023 05:00,9048.080466,1159.880841,5114.193148,879.087394,9053.366004,2669.251064,5593.501797,1034.528387,34551.8891
01/03/2023 06:00,9396.83595,1204.585074,5144.137486,929.990479,9641.136102,2739.616606,5825.739666,1083.765496,35965.806859
01/03/2023 07:00,9841.052166,1320.824565,5162.492587,1004.653809,10623.101779,2892.938917,6294.780437,1165.802064,38305.646325
01/03/2023 08:00,10038.460137,1353.971889,5175.523221,1061.041823,11365.160759,2980.033441,6591.311649,1216.289616,39781.792535
01/03/2023 09:00,10208.919587,1336.574933,5170.01168,1074.103378,11603.821317,3052.092476,6693.059444,1211.702831,40350.285647
01/03/2023 10:00,10456.756864,1350.931633,5145.007053,1069.990982,11613.237203,3053.553601,6653.627037,1198.556581,40541.660953
01/03/2023 11:00,10795.509236,1423.488208,5127.715286,1072.157535,11764.008549,3162.086763,6691.683258,1174.667175,41211.316011
01/03/2023 12:00,11121.310723,1433.025114,5136.85238,1051.472903,11897.123803,3326.560053,6703.012048,1158.765463,41828.122487
01/03/2023 13:00,11390.795986,1440.736801,5106.573727,1027.777893,11806.901426,3475.621631,6769.215241,1133.857017,42151.479723
01/03/2023 14:00,11697.921775,1415.776774,5116.50878,1027.592796,11744.87232,3638.57087,6874.310059,1114.759077,42630.312452
01/03/2023 15:00,11906.90321,1412.586176,5136.074016,1022.738445,11680.356578,3789.49246,6936.385337,1097.260548,42981.79677
01/03/2023 16:00,11923.054393,1423.185019,5167.8962,1016.450587,11592.014675,3876.263139,7041.547434,1097.629726,43138.041173
01/03/2023 17:00,11766.038706,1472.086872,5194.48584,1031.172061,11746.024203,3883.622516,7189.560206,1107.484448,43390.474854
01/03/2023 18:00,11444.000117,1493.999458,5019.170406,1066.476935,12068.548821,3741.475379,7326.361168,1125.360913,43285.393198
01/03/2023 19:00,11361.330302,1539.160836,5126.046207,1121.54858,12616.376746,3726.104194,7585.07818,1192.892627,44268.537672
01/03/2023 20:00,11069.366512,1540.01621,5112.280794,1131.473202,12620.099243,3621.703814,7479.216181,1218.566557,43792.722512
01/03/2023 21:00,10720.698373,1503.751599,5124.858668,1121.452505,12408.371501,3458.546023,7260.269129,1208.376063,42806.323862
01/03/2023 22:00,10222.605937,1430.523556,5192.592448,1091.186294,11942.96271,3287.778254,6972.374134,1179.484969,41319.508302
01/03/2023 23:00,9632.097448,1347.770847,5152.410998,1061.867322,11289.034601,3102.524201,6562.498547,1130.863308,39279.067272
01/03/2023 24:00,9018.170515,1275.740149,5159.776834,1031.853741,10672.142872,2886.179971,6146.355579,1090.715693,37280.935354
01/03/2024 01:00,11634.185261,1632.183752,6090.888496,1176.78099,13121.704235,3104.374398,7265.685205,1299.860023,45325.66236
01/03/2024 02:00,11418.284209,1626.731944,6052.948032,1223.619606,12734.445706,2984.922345,7108.658887,1281.335014,44430.945742
01/03/2024 03:00,11347.977885,1622.395083,6148.151899,1198.109508,12717.95601,2865.629344,7054.929196,1275.051024,44230.19995
01/03/2024 04:00,11361.374702,1633.065578,6254.290816,1185.01226,12735.296901,2879.460007,7091.585886,1278.369496,44418.455647
01/03/2024 05:00,11553.798032,1671.64041,6259.938822,1229.312078,13071.450505,2888.784053,7266.891898,1297.745382,45239.56118
01/03/2024 06:00,12080.322358,1769.614902,6355.295652,1275.391119,13778.166781,3009.551758,7686.365189,1341.14517,47295.85293
01/03/2024 07:00,12754.396572,1891.889338,6307.717713,1344.048392,14685.968269,3252.080379,8273.367818,1408.362728,49917.831208
01/03/2024 08:00,13196.846625,1939.153712,6326.33649,1388.46513,15344.21061,3383.34844,8606.260778,1447.2336,51631.855386
01/03/2024 09:00,13368.720091,1977.26815,6327.030622,1366.319634,15547.076552,3391.392632,8695.090853,1433.152251,52106.050784
